,book_name,author,publication,publication_year,availability,pages,shipping_time,language,price,binding,cover,about_book,page_link,cluster
433,Adopting the Minimalist Lifestyle,Ariel Horowitz,Power of One,2013,Available,32,Same Day Dispatch,English,373,Paperback,https://cms.buybooksindia.com/uploads/books/9781628844511.jpg,"There's too much going on. Have you heard that before? That's exactly what the problem is. It's all around us and it's stuff that we contribute to ourselves as well. It's time for a change - a change in the opposite direction; an actual lifestyle change. ""Adopting the Minimalist Lifestyle - How to Achieve A Stress Free, Simple Life"" goes into detail about how to condition yourself to understand that you don't need anything beyond the basics. As long as you have the basics or simply only what you need, you're content with that and actually ""freed up"" to start enjoying what you do have. As a result, the stress is removed because the baggage has been removed. The information in this book will show you how to achieve this in a practical way that would astonish you. This is not a temporary thing that you do today and then next month you're back to the way you were. It is indeed a lifestyle change. Simplifying your life is the way to go so that you can live longer and function better.",https://www.buybooksindia.com/adopting-the-minimalist-lifestyle-9781628844511-44108.htm,low range
434,Adoption: A Different Road to Mothering,Susan Gair,VDM Verlag,2010,Available,408,Same Day Dispatch,English,4998,Paperback,https://cms.buybooksindia.com/uploads/books/9783639235937.jpg,"Adoption is a topic that captures peoples' interest, curiosity, imagination and empathy. Adoptees and birth parents are key people in the adoption arena yet. So too, are the adoptive mothers, as the primary carers who often remain hidden and busy doing the work of raising the adopted children. This book provides access to detailed, unique stories from adoptive mothers as they walk a different yet familiar road to mothering. Significant times across the adoption life cycle are discussed including waiting impatiently to adopt, mothering in the exhausting early years, coping strategies along the way, and facing change in the teenage years and beyond when issues of information about and contact with birth relatives are emerging. This book will be of great interest to adoptive families, potential adopting couples, policy makers and it will be especially useful for professionals working in the area of adoption",https://www.buybooksindia.com/adoption-a-different-road-to-mothering-9783639235937-41835.htm,high range
436,Adult Development and Aging,K. Warner Schaie,McGraw Hill Education,2001,Available,608,Same Day Dispatch,English,863,Paperback,https://cms.buybooksindia.com/uploads/books/9780071118347_0_1611143169.jpeg,"This comprehensive book helps readers process a clear picture of adult development and aging with the help and results of intensive scientific research. It challenges common stereotypes about this subject matter, and interprets the research data into an optimistic yet realistic appraisal of the many problems faced by the elderly in today's society. Chapter topics look at independence and intimacy in young adulthood; responsibility and failure in the middle years; the reintegration or despair of later life; research methodology; families; careers; personality development; learning and memory; intellectual and biological development; mental disorders; and death and bereavement. For individuals who want to view the potential richness of life--at all stages, and/or understand the lives of older adults they may care for.",https://www.buybooksindia.com/adult-development-and-aging--9780071118347-4785.htm,low range
437,Adultery,Paulo Coelho,Arrow Books,2015,Available,304,Same Day Dispatch,English,514,Paperback,https://cms.buybooksindia.com/uploads/books/9780099592228_0_1611575001.jpeg,"The thought-provoking new novel from the international bestselling author whose words change lives.Linda knows she's lucky.Yet every morning when she opens her eyes to a so-called new day, she feels like closing them again.Her friends recommend medication.But Linda wants to feel more, not less.And so she embarks on an adventure as unexpected as it is daring, and which reawakens a side of her that she - respectable wife, loving mother, ambitious journalist - thought had disappeared.Even she can't predict what will happen next...",https://www.buybooksindia.com/adultery-9780099592228-6590.htm,low range
438,Adulting,Neharika Gupta,HARPERCOLLINS PUBLISHERS INDIA,2019,Out of Stock,216,Same Day Dispatch,English,209,Paperback,https://cms.buybooksindia.com/uploads/books/9789353571498_0_1614918464.jpeg,"Social media manager and popular blogger Aisha is flirty and flamboyant ... even as she battles personal demons that tell her she must stop eating if she wants to stay pretty. Ruhi couldn't be more different from her friend Aisha. Working at Litracy Publishing, she feels grossly underappreciated by the editor-in-chief, who happens to be her mother. What keeps her going are her own ambitions - and her handsome author Tejas. Bestselling novelist Tejas has a bad case of writer's block. He leans on Ruhi for emotional support before getting enamoured by Aisha as he struggles to live up to everyone's expectations, including his own. Bold and unapologetic, this is a story of love and self-discovery, heartache and book launches.",https://www.buybooksindia.com/adulting-9789353571498-14953.htm,low range
439,Advanced Tarot,Katrena Rose,Shambhallah Awareness Centre,2020,Available,126,Usually Ships 20-25 Days,English,825,Paperback,https://cms.buybooksindia.com/uploads/books/9780994354167.jpg,"A Simplified Guide to Universal Symbols Originally a companion to ShÃ© D'Montford's sell-out tarot deck, ""The Talking Tarot."" This little book is the gold standard in Tarot education ShÃ© D'Montford is arguably the best teacher of The Tarot in Australia today. ShÃ© was able to quickly and accurately find the little boy lost on the TV show ""The One"" by using information gleaned from a tarot spread. Her tarot book makes it easy for a beginner to read the cards accurately, whilst exploring the tarot's deeper correspondences. Universal symbolism, mythological archetypes, Pythagorean monads, tattwas and colour psychology, are just some of the esoteric concepts explained to help the beginner or advanced reader to better intute the spiritual significance of the cards. She explains the elemental correspondences of the suits that were reversed by Arthur Waite in his Rider deck. Knowing this will allow for greater accuracy in your tarot readings Finding the meanings of these lost symbols has never been easier. ShÃ© reveals more secrets than ""The DaVinci Code"" by using Masonic, Cabalistic, ancient European, Egyptian, Greek and contemporary symbolism combined with mythic and historical personalities to create highly recognizable archetypal images that you can easily remember and that will will add depth to your readings.",https://www.buybooksindia.com/advanced-tarot-9780994354167-63691.htm,low range
441,Adventures in Palmistry,Â Catherine Kane,Foresight Publications,2011,Available,280,Same Day Dispatch,English,1119,Paperback,https://cms.buybooksindia.com/uploads/books/9780578064130.jpg,"Your Destiny is in your hands - and you can have a hand in your destiny! Reading palms can empower and enlighten you, giving you the information you need for the adventure of life, and enabling you to help others around you. And it can be a lot of fun, as well. """"Adventures in Palmistry"""" makes palmistry easy and fun. It will put the power of palmistry in your hands.",https://www.buybooksindia.com/adventures-in-palmistry--9780578064130-39573.htm,mid range
443,Adventures of Huckleberry Finn,Mark Twain,Wisehouse Classics,2017,Available,190,Same Day Dispatch,English,1155,Hardcover,https://cms.buybooksindia.com/uploads/books/9789176374214.jpg,"THE ADVENTURES OF HUCKLEBERRY FINN is a novel by Mark Twain, first published in the United Kingdom in December 1884 and in the United States in February 1885. Commonly named among the Great American Novels, the work is among the first in major American literature to be written throughout in vernacular English, characterized by local color regionalism. It is told in the first person by Huckleberry ""Huck"" Finn, a friend of Tom Sawyer and narrator of two other Twain novels (Tom Sawyer Abroad and Tom Sawyer, Detective). It is a direct sequel to The Adventures of Tom Sawyer.",https://www.buybooksindia.com/adventures-of-huckleberry-finn-9789176374214-43639.htm,mid range
444,Adverbs & ClichÃ©s in a Nutshell: Demonstrated Subversions of Adverbs & ClichÃ©s into Gourmet Imagery: 1.2,Jessica Bell,Vine Leaves Press,2019,Available,74,Same Day Dispatch,English,367,Paperback,https://cms.buybooksindia.com/uploads/books/9781925965032.jpg,"Have you been told you use too many adverbs and clichÃ©s in your writing? Want to remedy it? Then this is the book for you. In Adverbs & ClichÃ©s in a Nutshell: Demonstrated Subversions of Adverbs & ClichÃ©s into Gourmet Imagery, you will find thirty-four examples of prose which clearly demonstrate how to turn those pesky adverbs and clichÃ©s into vivid and unique imagery. Extra writing prompts are also provided at the end of the book. Not only is this pocket guide an excellent learning tool for aspiring writers, but it is a user-friendly and simple solution to honing your craft no matter how broad your writing experience. NOTE: This book is included as Part 2 in Writing in a Nutshell: Writing Workshops to Improve Your Craft",https://www.buybooksindia.com/adverbs-clich-s-in-a-nutshell-demonstrated-subversions-of-adverbs-clich-s-into-gourmet-im-9781925965032-24628.htm,low range
445,Aelred's Sin,Lawrence Scott,Allison & Busby,1998,Available,304,Same Day Dispatch,English,655,Paperback,https://cms.buybooksindia.com/uploads/books/9780749003746_0_1613365589.jpeg,"Robert de la Borde comes from the Caribbean to England in the 1980's after hearing that his brother, Jean Marc, has died. In Bristol, his brother's journals prompt Robert to visit the Ashton Park Monastery, which Jean Marc entered in the 1960's as Brother Aelred. There Robert pieces together Jean Marc's life; his exuberance, his mental suffering, and his struggle to balance his sexual impulses with his love of God. As Robert is forced to question his inherited prejudices, what unfolds is a story about the triumph of compassion over brutality. Moving from present to past, from cruelty to sympathy, Aelred's Sin is a powerful new novel of erotic love, spiritual awakening and above all, reconciliation.",https://www.buybooksindia.com/aelred-s-sin--9780749003746-12015.htm,low range
446,Aesopâ's Fables,Aesop,FINGERPRINT PUBLISHING,2019,Available,248,Usually Ships 1-3 Days,English,213,Paperback,https://cms.buybooksindia.com/uploads/books/9789389567663.jpg,"Much wants more and loses all.â€ Once upon a time, long long ago There were mischievous Dogs and crafty Cats, Wise Mice and greedy Men, Hungry Wolves and innocent Lambs, Clever Frogs and cunning Foxes, Wily Lions and overconfident Hares . . . Each had a lesson to teach. Each had a moral to share. Timeless and enlightening, Aesopâ€™s Fables have been enchanting children for more than centuries now. They continue to remain the best bedtime stories. This classic edition is a translation by V. S. Vernon Jones. It includes two hundred and eighty-four fables illustrated by Arthur Rackham.",https://www.buybooksindia.com/aesop-s-fables-9789389567663-52582.htm,low range
447,Affirmations Journal for Wealth: Using Gratitude and the Law of Attraction to Change Your Money Mindset,Natalie L. Fox,Yonder Publishing Ltd,2016,Available,238,Same Day Dispatch,English,987,Paperback,https://cms.buybooksindia.com/uploads/books/9780993538216.jpg,This range of Affirmation Journals serve as the ultimate tools for those serious about mastering affirmations in order to create positive change. You're not just reading about it... you're doing it! Are you tired of practicing affirmations with hit-or-miss results? Maybe you want to learn more about this Law of Attraction technique and see what it can do for you? Use the powerful effects of gratitude combined with the tried-and-tested technique of affirmations to permanently change your money mindset. This journal-style book is packed full of affirmations you can use over the course of 100 days to do just this. The thorough method contained within this book will wedge your new beliefs about money deep into your subconscious. Plus you can use this book to uncover hidden beliefs that are blocking your path to abundance. Track your progress by recording 'Magic Money Moments' and see the results of your practice.,https://www.buybooksindia.com/affirmations-journal-for-wealth-using-gratitude-and-the-law-of-attraction-to-change-your-money-mind-9780993538216-34385.htm,mid range
449,After All This Time,Nikita Singh,Penguin Random House India Private Limited,2015,Available,232,Usually Ships 3-5 Days,English,212,Paperback,https://cms.buybooksindia.com/uploads/books/9780143424857_0_1641294654.jpeg,"After all this time
'After all this time' is one of the latest books by a young Indian author, Nikita Singh. She has picked up the issue of positivity and sorrow at the same time. Lavanya, the lead character of this book, is a young girl working in a metro city at a high paying position. However, her job demanded too much out of her, which was suffocating to say the least. Her boyfriend was nothing more than a selfish man who was just trying to use her in many ways. Lavanya’s past came knocking one day when she found out that she was HIV positive. It was a moment of total shut down and simultaneously a moment of complete rise. She was given a wake-up call by destiny. In her busy life drowning in the frantic ways of modern living, she had forgotten the important things in life.
She came back to consciousness with her medical reports. She resigned from the job and dumped her boyfriend. What else was left to do? She went home! After seven long years, she went home and it was magical for Lavanya. However, she is yet to disclose the truth at home. Will she be able to tell her traditional Indian parents the truth about her situation? Will she find any support in the family or elsewhere? These are the questions thrown in front of Lavanya through the course of this book.
She meets an old friend and Neighbour Shaurya. Cupid strikes a bow in their hearts, but Lavanya’s health makes her question this new feeling. Will she be able to contain this fling into a relationship? It is a tale of quest between your sorrows and your positive thinking. What do you do when life hits you hard while you were carefree? Do you stop living? Or you start loving? To find out some answers, read this book.",https://www.buybooksindia.com/after-all-this-time--9780143424857-54192.htm,low range
450,After All You Are My Destiny,Satya Pal Chandra,Diamond Books,2013,Available,151,Same Day Dispatch,English,125,Paperback,https://cms.buybooksindia.com/uploads/books/9789350835081.jpg,"What happens when destiny conspires in favor of a girl hater boy, who always claims that he is not interested in girls at all to encounter with a girl through a co-incidental journey where both were scheduled to participate in a cultural festival. Although girl was senior to him but he realizes that he has never seen someone like her and this incident changes his perception towards life and soon he realizes that how wrong his thinking was? They spend some time together and he breaks those all standards which he has set for himself and found a very strong inclination towards that girl. But before he could declare his very true feelings, he gets to know a very secret chapter of her life which makes his all dreams shattered? Should he again carry his girl-hating attitude to avoid those all unwanted embarrassment or dare to find a way to meet with his ultimate destiny?",https://www.buybooksindia.com/after-all-you-are-my-destiny-9789350835081-73160.htm,low range
451,After Dark,Haruki Murakami,Random House UK,2011,Available,208,Usually Ships 1-3 Days,English,374,Paperback,https://cms.buybooksindia.com/uploads/books/9780099506249.jpg,"Reality bends all the more acutely with lack of sleep in this stunning novel from the master of the surreal. Eyes mark the shape of the city The midnight hour approaches in an almost-empty diner. Mari sips her coffee and reads a book, but soon her solitude is disturbed: a girl has been beaten up at the Alphaville hotel, and needs Mari's help. Meanwhile Mari's beautiful sister Eri lies in a deep, heavy sleep that is 'too perfect, too pure' to be normal; it has lasted for two months. But tonight as the digital clock displays 00:00, a hint of life flickers across the television screen in her room, even though it's plug has been pulled out. Strange nocturnal happenings, or a trick of the night?",https://www.buybooksindia.com/after-dark-9780099506249-50310.htm,low range
452,After Many a Summer Dies the Swan,Aldous Huxley,Rowman & Littlefield Publishing Group Inc,1993,Available,370,Usually Ships 20-25 Days,English,1299,Paperback,https://cms.buybooksindia.com/uploads/books/9781566630184.jpg,"Jo Stoyte, an unscrupulous and self-indulgent Hollywood tycoon, launches a search for the man who has discovered immortality",https://www.buybooksindia.com/after-many-a-summer-dies-the-swan-9781566630184-64416.htm,mid range
453,After the Funeral (Poirot),Agatha Christie,HARPERCOLLINS PUBLISHERS INDIA,2017,Out of Stock,320,Same Day Dispatch,English,255,Paperback,https://cms.buybooksindia.com/uploads/books/9780007562695_0_1611139548.jpeg,"The first of a new-look series of Hercule Poirot books for the 21st century‘It’s been hushed up very nicely, hasn’t it? But he was murdered, wasn’t he?’There are certain things that are best left unsaid. Though tragedy had touched the life of the wealthy Richard Abernethie, his sudden death seemed pretty unremarkable for a man of his age. So why would his sister wait until his funeral to say he had been murdered?When she is savagely killed with a hatchet the next day, her extraordinary remark suddenly takes on a chilling significance. In desperation, the family solicitor turns to Hercule Poirot to unravel the mystery…",https://www.buybooksindia.com/after-the-funeral-poirot--9780007562695-4766.htm,low range
456,Afterlives,Abdulrazak Gurnah,Bloomsbury India,2021,Available,288,Same Day Dispatch,English,439,Paperback,https://buybooksindia.s3.amazonaws.com/products/9781526653239-1667820516.jpg,"BY THE WINNER OF THE 2021 NOBEL PRIZE IN LITERATURESHORTLISTED FOR THE 2021 ORWELL PRIZE FOR POLITICAL FICTIONLONGLISTED FOR THE 2021 WALTER SCOTT PRIZE'Riveting and heartbreaking ... A compelling novel, one that gathers close all those who were meant to be forgotten, and refuses their erasure' Maaza Mengiste, Guardian'A brilliant and important book for our times, by a wondrous writer' Philippe Sands, New Statesman, Books of the Year_______________While he was still a little boy, Ilyas was stolen from his parents by the German colonial troops. After years away, fighting in a war against his own people, he returns to his village to find his parents gone, and his sister Afiya given away.Another young man returns at the same time. Hamza was not stolen for the war, but sold into it; he has grown up at the right hand of an officer whose protection has marked him life. With nothing but the clothes on his back, he seeks only work and security - and the love of the beautiful Afiya. As fate knots these young people together, as they live and work and fall in love, the shadow of a new war on another continent lengthens and darkens, ready to snatch them up and carry them away._______________'One of the world's most prominent postcolonial writers . He has consistently and with great compassion penetrated the effects of colonialism in East Africa and its effects on the lives of uprooted and migrating individuals' Anders Olsson, chairman of the Nobel Committee'In book after book, he guides us through seismic historic moments and devastating societal ruptures while gently outlining what it is that keeps those families, friendships and loving spaces intact, if not fully whole' Maaza Mengiste'Rarely in a lifetime can you open a book and find that reading it encapsulates the enchanting qualities of a love affair ... One scarcely dares breathe while reading it for fear of breaking the enchantment' The Times",https://www.buybooksindia.com/afterlives-9781526653239-77614.htm,low range
457,Against Happiness: In Praise of Melancholy,Eric G. Wilson,Sarah Crichton Books,2009,Available,176,Same Day Dispatch,English,663,Paperback,https://cms.buybooksindia.com/uploads/books/9780374531669.jpg,"We are addicted to happiness. More than any other generation, Americans today believe in the power of positive thinking. But who says we're supposed to be happy? In Against Happiness, the scholar Eric G. Wilson argues that melancholia is necessary to any thriving culture, that it is the muse of great literature, painting, music, and innovationâ€•and that it is the force underlying original insights. So enough Prozac-ing of our brains. Let's embrace our depressive side as the wellspring of creativity. It's time to throw off the shackles of positivity and relish the blues thatmake us human",https://www.buybooksindia.com/against-happiness-in-praise-of-melancholy-9780374531669-25449.htm,low range
458,Agamemnon,Aeschylus,Mint Editions,2020,Available,60,Usually Ships 20-25 Days,English,324,Paperback,https://cms.buybooksindia.com/uploads/books/9781513267739.jpg,"From the perspective of the townspeople and the queen, Clytemnestra, Agamemnon follows the emotional journey of grief, rage, and revenge. Agamemnon had dedicated much of his life to a war that his brother started. He vowed to do whatever it takes to winâ€•committing war crimes and killing innocents. But, even in victory, Agamemnon feels unsatisfied and plagued by the bloodshed he caused. Because of this, he decides to perform a ritual to clear his conscience and regain the godsâ€™ approval. After he fought for ten years in the Trojan war, Clytemnestra eagerly awaited the return of her husband, King Agamemnon. However, upon his arrival, she learns that he has sacrificed one of her loved ones to the gods, in order to win their favor. Though Agamemnon expressed slight remorse, he felt resolute in his actions, as he viewed the sacrifice as a necessity. Already devastated, Clytemnestra is driven to pure rage when she finds that Agamemnon also brought back a â€œspoil of warâ€, Cassandra, a Trojan princess and prophetess, who has been punished by the god Apollo for refusing his advances. Though she is able to see the future, she is cursed to be never believed. Considered as Agamemnonâ€™s war prize, Cassandra is trapped in the kingdom, especially hopeless when she receives a vision of unescapable doom. Meanwhile, as Clytemnestra settles in her grief and rage, she creates a plot for vengeance, and much like her husband at war, is unconcerned about any collateral damage. As the first installment of the sole surviving Greek trilogy, Agamemnon is both a stand-alone piece and a compliment to later plays. With symbolism and precise prose, Agamemnon by Aeschylus depicts the consequences of warfareâ€•both abroad and domestic. Featuring strong, dynamic, and well-developed characters and an emotional, dramatic plot, Agamemnon is an enthralling perspective on the fates of famous heroes from Greek mythology. This edition of Aeschylusâ€™ acclaimed tragedy, Agamemnon features a new, eye-catching cover and is reprinted in a modern, readable font. With these accommodations, contemporary readers are encouraged to revisit this classic and enthralling tale of revenge",https://www.buybooksindia.com/agamemnon-9781513267739-57880.htm,low range
460,Agatha Christie - Evil Under The Sun,Agatha Christie,HARPERCOLLINS PUBLISHERS INDIA,2001,Available,320,Same Day Dispatch,English,149,Paperback,https://cms.buybooksindia.com/uploads/books/9780007282371_0_1629698026.jpeg,Book Description is not available.,https://www.buybooksindia.com/agatha-christie-evil-under-the-sun-9780007282371-39743.htm,low range
461,Agatha Christie - Lord Edgware Dies,Agatha Christie,,2007,Out of Stock,352,Same Day Dispatch,English,129,Paperback,https://cms.buybooksindia.com/uploads/books/9780007282487_0_1628594260.jpeg,Book Description is not available.,https://www.buybooksindia.com/agatha-christie-lord-edgware-dies-9780007282487-38201.htm,low range
462,Agatha Christie Crooked House,CHRISTIE AGATHA,HARPERCOLLINS PUBLISHERS INDIA,2012,Available,128,Same Day Dispatch,English,175,Paperback,https://cms.buybooksindia.com/uploads/books/9780007282258_0_1628591011.jpeg,"Agatha Christie is the most widely published author of all time and in any language. Now Collins has adapted her famous detective novels for English language learners. These carefully adapted versions are shorter with the language targeted at upper-intermediate learners (CEF level B2).
Each reader includes:
• A CD with a reading of the adapted story• Helpful notes on characters• Cultural and historical notes relevant to the plot• A glossary of the more difficult words
The Leonides family live together in a large and crooked house in a wealthy London suburb. When the elderly millionaire Aristide Leonides is murdered with a fatal injection, the family reluctantly suspects his glamorous, young second wife.
Charles Hayward, who is engaged to the late millionaire’s granddaughter, observes the family closely and makes a terrible and shocking discovery…",https://www.buybooksindia.com/agatha-christie-crooked-house-9780007282258-38189.htm,low range
464,Aggressor,McNab,Corgi Books,2006,Available,474,Same Day Dispatch,English,177,Paperback,https://cms.buybooksindia.com/uploads/books/9780552167208_0_1612593373.jpeg,"Until he sees a news report of the massacre of the women and children in a terrorist outrage. For Stone, long-suppressed memories are triggered and he know he must risk everything to repay a longstanding debt of friendship. As events unfold in the bust streets of modern Istanbul and the bleak, medieval villages of Georgia, Nick finds himself catapulted back into a murky, secretive world he thought hed left behind in lingering in the shadows...",https://www.buybooksindia.com/aggressor-9780552167208-9017.htm,low range
467,Ahalya's Awakening,KAVITA KANE,,2019,Out of Stock,350,Same Day Dispatch,English,319,Paperback,https://cms.buybooksindia.com/uploads/books/9789388754293_0_1626343276.jpeg,"I searched all these years for myself—and I only found Ahalya, the woman I was supposed to be born as: unblemished, without any faults. I had no hala in me, no sin, no crime, no guilt. What I had done was to respond to the call of life within me…’
Ahalya. Created by Brahma; married to one of the greatest rishis of all time; desired by the king of gods, Indra. A woman maligned and cursed.
But who was Ahalya? What did she want? Did she have ambitions and desires?
In this sparkling retelling of the well-known legend, bestselling author Kavita Kané draws out the voice of a character that lacked one—even before she was turned to stone. Tracing her journey from a precocious child, to a studious and sheltered princess, to the loving wife of Rishi Gautam, Ahalya’s Awakening delves into the mind of a woman who yearns to control her own destiny. In her tale lies the story of every woman, even today.",https://www.buybooksindia.com/ahalya-s-awakening-9789388754293-33266.htm,low range
468,Aham: The Other I,Nanda Kishore Rajanala,Nanda Kishore Rajanala,2015,Available,156,Same Day Dispatch,English,679,Paperback,https://cms.buybooksindia.com/uploads/books/9789352359424.jpg,"Does the great Indian epic poem, the Bhagavad Gita, have relevance in the modern world? Does the ancient poem have any lessons for people battling choices in their busy lives today? AHAM decodes the philosophy behind the Bhagavad Gita through the tale of a young man's journey through success and failure in the ultimate quest for happiness! It is a tale of a young man who believes that the path to true happiness in life is through the relentless pursuit of money. Born in a middle class Indian family, he works hard towards this goal and starts his own entrepreneurial venture in the United States, through which he tastes immense success and wealth. But, fate has a different agenda and through a series of events, he loses what he struggles hard to build over the years. In this extreme dilemma of how to confront the World in a time of sudden loss, he meets an old, inspiring African-American man who shares his life journey through eighteen stories. Through the canvas of 20th century America, the old man paints his adventures from being a slave to a successful businessman by handling wealth and harnessing happiness with equal finesse. Inspired by the eighteen chapters of the epic Indian poem, the Bhagavad Gita, each story has a life message for the young man who finally realizes the secret ingredients of happiness in life. God and Man engage in conversation!",https://www.buybooksindia.com/aham-the-other-i-9789352359424-42395.htm,low range
469,Ahead Of its Time,Duncan McLean,Vintage Publisher,1997,Available,272,Same Day Dispatch,English,597,Paperback,https://cms.buybooksindia.com/uploads/books/9780224050241_0_1611983064.jpeg,"An anthology of works by key modern Scottish writers, published as a tribute to the Clocktower Press, which encouraged such writers as Irvine Welsh, James Kelman, Janice Galloway and Gordon Legge. Contains original pieces, as well as new specially written stories.",https://www.buybooksindia.com/ahead-of-its-time-9780224050241-7324.htm,low range
470,Ahead of the Curve: A Commonsense Guide to Forecasting Business and Market Cycles,Elmo Ellis,Harvard Business School Publishing,2005,Available,276,Same Day Dispatch,English,1399,Hardcover,https://cms.buybooksindia.com/uploads/books/9781591396918_0_1628585677.jpeg,"Today's managers and investors are bombarded with so many conflicting economic reports and data that it seems impossible to know which way the market will turn until it's too late. Now, a thirty-five-year Wall Street veteran enables managers and investors to stop relying on conventional economic forecasts (which are usually wrong), and confidently analyze how the market will impact their industry, business, or stocks. The author unveils his proven forecasting model based on just a few key economic indicators for identifying major directional changes in the economy and adjusting business and investing strategies accordingly. A simpler and more pragmatic approach to forecasting: user-friendly approach draws from empirical observation and first-hand practice rather than abstract economic theories Great timing.",https://www.buybooksindia.com/ahead-of-the-curve-a-commonsense-guide-to-forecasting-business-and-market-cycles-9781591396918-38109.htm,mid range
471,Ahmedabad: From Royal City To Megacity,Achyut Yagnik,Penguin Random House India Private Limited,2011,Available,368,Same Day Dispatch,English,374,Paperback,https://cms.buybooksindia.com/uploads/books/9780143415787.jpg,"Ahmedabad is today Indiaâ€™s seventh largest city and also one of the subcontinentâ€™s few medieval cities which continues to be prosperous and important. Soon after it was established, the royal city of Ahmedabad became the commercial and cultural capital of Gujarat. When the Mughal Empire annexed Gujarat in 1572, Ahmedabad lost its political pre-eminence, but continued to flourish as a great trading center connecting the silk route with the spice route. Briefly under the Marathas in the eighteenth century, Ahmedabad experienced a dimming of its fortunes, but with the beginning of British control from the early nineteenth century the city reasserted its mercantile ethos, even as it began questioning age-old social hierarchies. The opening of the first textile mill in 1861 was a turning point and by the end of the century Ahmedabad was known as the Manchester of the East. When Gandhi returned to India from South Africa in 1915, looking for a place where he could establish â€˜an institution for the whole of Indiaâ€™, it was Ahmedabad he chose. With the setting up of his Sabarmati Ashram, the great manufacturing center also became a center for new awakening. It became the political hub of India, radiating the message of freedom struggle based on truth and non-violence. After Independence, it emerged as one of the fastest-growing cities of India and in the 1960s Ahmedabadis pioneered institutions of higher education and research in new fields such as space sciences, management, design and architecture. Yet, through the centuries, Ahmedabadâ€™s prosperity has been punctuated by natural disasters and social discord, from famines and earthquakes to caste and religious violence. Ahmedabadis have tried to respond to these, trying to meld economic progress with a new culture of social harmony.",https://www.buybooksindia.com/ahmedabad-from-royal-city-to-megacity--9780143415787-37969.htm,low range
472,Aimless in Banaras: Wanderings in India's Holiest City,Bishwanath Ghosh,Tranquebar Press,2019,Out of Stock,252,Same Day Dispatch,English,319,Paperback,https://cms.buybooksindia.com/uploads/books/9789389152005_0_1626417109.jpeg,"While cremating his mother at the famed Manikarnika Ghat, Bishwanath Ghosh pretended he was a writer collecting material for a future book rather than a grieving son—his way of dealing with the last rites. A few years later, he returns to Banaras to write that book.
Plunging into its timeless aura, he roams its ghats and galis, sails through the cool breeze of the Ganga, walks through the heat of funeral pyres. One moment he is observing a sadhu show off his penile strength, in the next he is on a boat with a young woman who has been prophesied to marry seven times; one moment he is in conversation with the celebrated writer Kashinath Singh, who is an atheist, and in the next he is having tea with a globe- trotting priest and a god-fearing doctor ... Ghosh finds a story in every bend as he engages with quintessential Banarasis—their paan-stuffed mouths spouting expletives and wisdom with equal flair—and discovers why they are among the happiest people on earth.
Then one evening at Manikarnika, as he emerges from a temple, wearing ash from the cremation ground on his forehead, he finds a bit of Banaras in himself.
Aimless in Banaras is not only a sensuous portrait of India’s holiest city but also a meditation on life—and death.",https://www.buybooksindia.com/aimless-in-banaras-wanderings-in-india-s-holiest-city-9789389152005-33347.htm,low range
473,Airport,Arthur Hailey,Ishi Press,2015,Available,450,Same Day Dispatch,English,4722,Paperback,https://cms.buybooksindia.com/uploads/books/9784871876360.jpg,"This is a fictional story - fast paced, exciting, richly textured with memorable characters. Yet we think you will find it more than a story. It is about your airport too. Yet those with inside knowledge - like Mel Bakersfield, the airports career-jinxed general manager - are aware of grave deficiencies. Operational areas are out molded to the point of danger; air traffic control is overtaxed; the supposedly modern glass chrome main terminal has become a whited sepulcher. Against this background is set a dramatic, behind the scenes story of seven eventful airport hours during a mid-winter snowstorm - with pressures passions and problems of their own - who share them. You will meet Joe Patroni, cocky and genial airline maintenance chief, striving to clear a disabled aircraft from an urgently needed runway; Air Traffic Controller Keith Bakersfeld suffering stress and conscience stricken by the memory of an air disaster for which he was responsible; Tanya Livingston passenger relations agent (an attractive divorcee) whose suspicions triggered by a sharp-eyed customs inspector, reveal an unsuspected crisis; Captain (and check pilot) Vernon Demerest, arrogant admired by women and despising ""ground bound pigeons,"" especially Airport Commissioners; Elliot Freemantle, crusading lawyer, leading a group of home-owners incensed by airport noise; Gwen Meighen, a hot-tempered English brunette from ""Stewardess Row""; Ada Quonsett, an old lady who explains her techniques as an aerial stowaway; D. O. Guerrero, a psychotic with a homemade bomb. Arthur Hailey has employed the same multi-plot technique which he used successfully in Hotel and The Final Diagnosis. As usual, he has written an engrossing enjoyable tale, packed with little known and fascinating information: How, for example, smugglers trip themselves up with customs; how to get free drinks on economy flights; the way in which stewardess pregnancy programs work; what is an airport ""Conga Line""; how much an airline will pay on the spot for a damaged luggage claim; and why airport insurance booths are hated by airline pilots . But the true hero of this novel is the airport itself viewed through the eyes of a master story teller",https://www.buybooksindia.com/airport--9784871876360-38081.htm,high range
